,lblKitaname,lblEinrichtungsart,lblTraegerName,lblTraegerart,lblStrasse,lblOrt,HLinkEMail,HLinkWeb,lblOeffnungMontag,lblOeffnungDienstag,lblOeffnungMittwoch,lblOeffnungDonnerstag,lblOeffnungFreitag,lblOeffnungSonnabend,lblOeffnungSonntag,lblPaedSchwerpunkte,lblPaedAnsaetze,lblMehrsprachigkeitText,lblMehrsprachigkeit,lblThemSchwerpunkte,lblBesondereAngebote,GridViewFreiPlaetze,GridViewPlatzstrukturen_Altersmischung,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,PLZ,Ort,Stadtteil,lat,lon,address_zum_vergleich_nochmal
970,Kita Asilo Italiano,Kindertagesstätte,Arbeitskreis praktische Pädagogik e. V.,(Sonstiger freier Träger),Badensche Str. 29 ,10715 Berlin (Charlottenburg-Wilmersdorf),www.asiloitaliano@hotmail.de,www.asiloitaliano.de,Mo 07:00-16:00,Di 07:00-16:00,Mi 07:00-16:00,Do 07:00-16:00,Fr 07:00-16:00,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - italienisch,"Interkulturelle Pädagogik, Körper und Bewegung",deutsch - italienisch,Nein, ,34,18,8,26,10715,Berlin,Charlottenburg-Wilmersdorf,52.4862449,13.3274958,"Badenscher Hof, 29, Badensche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10715, Deutschland"
1609,EKT - Kinder einer Erde,Eltern-Initiativ-Kindertagesstätte,Kinder einer Erde e. V.,(EKT),Lübbener Str. 26 ,10997 Berlin (Friedrichshain-Kreuzberg),kinder.einer.erde@hotmail.de,,Mo 08:30-17:30,Di 08:30-17:30,Mi 08:30-17:30,Do 08:30-17:30,Fr 08:30-17:30,,,"Interkulturelle Pädagogik, Situationsansatz",Situationsansatz,Mehrsprachigkeit,"deutsch - arabisch, deutsch - italienisch, deutsch - kurdisch","Integration von Kindern mit Behinderung, Interkulturelle Pädagogik",deutsch - türkisch,Nein, ,28,12,0,28,10997,Berlin,Friedrichshain-Kreuzberg,52.498727,13.4365257,"26, Lübbener Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland"
2314,AWO Kita Maulwurf,Kindertagesstätte,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,(Arbeiterwohlfahrt),Derfflingerstr. 21 ,10785 Berlin (Mitte),maulwurf@awo-mitte.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-16:30,,,Situationsansatz,Situationsansatz,,,"Integration von Kindern mit Behinderung, Interkulturelle Pädagogik",multikulturell,Nein, ,55,2,15,40,10785,Berlin,Mitte,52.503266,13.3566032,"21, Derfflingerstraße, Tiergarten, Mitte, Berlin, 10785, Deutschland"
239,Kita GIRASOLES-SONNENBLUMEN,Kindertagesstätte,"""GIRASOLES - SONNENBLUMEN"" jardin infantil
(guarderia) espanol-alemán - spanisch-deutscher
Kindergarten (Asociación) e. V.",(Sonstiger freier Träger),Sophie-Charlotten-Str. 113 ,14059 Berlin (Charlottenburg-Wilmersdorf),info@girasoles-berlin.de,www.girasoles-berlin.de,Mo 07:30-18:30,Di 07:30-18:30,Mi 07:30-18:30,Do 07:30-18:30,Fr 07:30-18:30,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - spanisch,Integration von Kindern mit Behinderung,Spanisch,Ja, ,202,2,70,132,14059,Berlin,Charlottenburg-Wilmersdorf,52.5212505,13.2861785,"113, Sophie-Charlotten-Straße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 14059, Deutschland"
480,Kita Knirpsenhaus,Kindertagesstätte,"urban-consult gemeinnützige Gesellschaft 
für kommunale Beratung mbH",(Sonstiger freier Träger),Raoul-Wallenberg-Str. 58 - 60,12679 Berlin (Marzahn-Hellersdorf),kita-knirpsenhaus@urban-consult.de,www.kita-knirpsenhaus.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung","Spät- und Übernachtbetreuung möglich, Zertifizierung als bewegungsfreundliche Kita",Nein, ,178,8,27,151,12679,Berlin,Marzahn-Hellersdorf,52.5506794,13.5483679,"Raoul-Wallenberg-Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12679, Deutschland"
775,Deutsch-Französische Kita/Kigä City,Kindertagesstätte,Kindergärten City,(Eigenbetrieb),Afrikanische Str. 121 ,13351 Berlin (Mitte),Kita.deutsch-franzoesisch@ba-fk.berlin.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,,,"Situationsansatz, Sonstiges",Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",deutsch - französisch,Nein, ,140,10,50,90,13351,Berlin,Mitte,52.55400245,13.3353911942,"121, Afrikanische Straße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland"
720,Kita Krümelkiste,Kindertagesstätte,Bürgerhaus e.V.,(Sonstiger freier Träger),Pfannschmidtstr. 2 ,13125 Berlin (Pankow),kruemelkiste@buergerhaus-ev.de,www.buergerhaus-ev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,"Ansatz von Emmi Pikler, Situationsansatz","Ansatz von Emmi Pikler, Situationsansatz",,,Integration von Kindern mit Behinderung,9 Plätze,Nein, ,110,2,45,65,13125,Berlin,Pankow,52.624267,13.4816172,"2, Pfannschmidtstraße, Karow, Pankow, Berlin, 13125, Deutschland"
1197,Kita Riemenschneiderweg,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Riemenschneiderweg 12 ,12157 Berlin (Tempelhof-Schöneberg),kita-riemenschneiderweg@nbhs.de,www.kita-riemenschneiderweg.nbhs.de,Mo 05:30-18:00,Di 05:30-18:00,Mi 05:30-18:00,Do 05:30-18:00,Fr 05:30-18:00,,,Situationsansatz,Situationsansatz,,,"Integration von Kindern mit Behinderung, Theaterpädagogik",multikulturell,Nein, ,128,2,35,93,12157,Berlin,Tempelhof-Schöneberg,52.4686047,13.3489895,"12, Riemenschneiderweg, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland"
100035,Kita WHITE COCKATOO - Internationaler Kindergarten,Kindertagesstätte,kids in berlin kib gUG (haftungsbeschränkt),(Sonstiger freier Träger),Gervinusstr. 17 ,10629 Berlin (Charlottenburg-Wilmersdorf),cockatooinfo@aol.com,www.cockatoo-berlin.de,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:30,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - englisch,"Interkulturelle Pädagogik, Körper und Bewegung, Theaterpädagogik","englisch, musische Orientierung, sportorientiert",Nein, ,30,24,10,20,10629,Berlin,Charlottenburg-Wilmersdorf,52.502904,13.2998836,"17, Gervinusstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10629, Deutschland"
1547,Montessori Kinderhaus Zwergenstube,Eltern-Initiativ-Kindertagesstätte,"Montessori-Kinderhaus, 
Elterninitiativ-Kindertagesstätte Zwergenstube e.V.",(EKT),Am Bärensprung 42 ,13503 Berlin (Reinickendorf),info@kita-zwergenstube.de,,Mo 07:30-16:30,Di 07:30-16:30,Mi 07:30-16:30,Do 07:30-16:30,Fr 07:30-16:30,,,Montessori-Pädagogik,Montessori-Pädagogik,,,Integration von Kindern mit Behinderung,Montessori-Pädagogik,Nein, ,12,12,8,4,13503,Berlin,Reinickendorf,52.6103696,13.2472806,"42, Am Bärensprung, Schulzendorf, Heiligensee, Reinickendorf, Berlin, 13503, Deutschland"
