,lblKitaname,Telefon,lblTelefon
274129,"""casa dei bambini""",030 52678441,3052678441
2032,"""Erlebniswelt""",030 5123176,305123176
1719,"""Griesinger Waldfüssler""",030 37586940,3037586940
1376,"""Mosaik""",030 56826290,0305682 6290
640,"""Naseweis""",030 9941273,309941273
2148,"""Schwalbennest""",030 9309800,030930 98 00
2010,"""Sonnengarten""",030 5593141,305593141
627,"""Spatzennest""",030 9724008,309724008
2060,"""Villa Seegarten""",030 9253371,309253371
173179,"24 Std. Kinderbetreuung
Die wilden Knallerbsen",030 63104609,03063104609/10
173179,"24 Std. Kinderbetreuung
Die wilden Knallerbsen",030 63104610,03063104609/10
608229,ABC Kindergarten,030 50154228,3050154228
2781,"ABC-Kindergarten
Birgit Döbler",030 8913331,308913331
56,Am Hain,030 4250106,304250106
209,Am Studio 5 / Kitas SüdOst,030 565900220,30565900220
606279,ASB Hugenottenhofkita Berlin,0174 3422862,0174 3422862
182129,Außenstelle FRÖBEL Kindergarten Palmkernzeile,030 13893556,3013893556
2425,AWO Europakita,030 2513442,030251 34 42
480129,AWO Kita am Spreebogen,030 44724001,3044724001
1125,AWO Kita Die wilde 13,030 66992820,3066992820
1454,AWO Kita Freie Scholle,030 4338154,433 81 54
1996,AWO Kita Grashüpfer,030 5098651,509 86 51
1109,AWO Kita Kastanie,030 6114525,030611 45 25
1020,AWO Kita Kinderwelt,030 4178900,304178900
2424,AWO Kita Löwenzahn,030 2512026,302512026
2314,AWO Kita Maulwurf,030 2618950,030261 89 50
2736,AWO Kita Müggelzwerge,030 6455677,645 56 77
2370,AWO Kita Pinocchio,030 4544898,030454 48 98
552,AWO Kita Rosa Marzipan,030 4634137,463 41 37
2786,AWO Kita Schatzinsel,030 6018181,601 81 81
726,AWO Kita Schmetterling,030 39741995,030397 41 995
1219,AWO Kita Schneckenhaus,030 43551074,3043551074
553,AWO Kita Sonnenblume,030 4556650,030455 66 50
2737,AWO Kita Sonnenkinder,030 67895875,6789 5875
2735,AWO Kita Spatzennest,030 5328375,5328375/5324453
2735,AWO Kita Spatzennest,030 5324453,5328375/5324453
904,AWO Kita Wassertropfen,030 6144829,030614 48 29
337129,AWO pro:mensch,030 225054521,30225054521
1568,AWO-Kita Feldhäuschen,030 3630068,030363 00 68
557,AWO-Kita Kladow,030 3652094,303652094
537,AWO-Kita Landstadt Gatow,030 36996990,0303699 6990
1715,AWO-Kita Sternschnuppe,030 30837063,30837063
1520,AWO-Kita Wundertüte,030 3364387,030336 43 87
2783,AWO-Kita Zwergenwinkel,030 37151761,3037151761
524229,Bambini-Oase - Casa gialla,030 23134492,3023134492
2714,"Berlin Cosmopolitan School, 
Kindergarten & Preschool",030 688332320,30688332320
2986,Berlin Metropolitan Preschool,030 887273918,30887273918
519229,Bewegte Kita,030 65015495,3065015495
205129,Bilinguales Montessori-Kinderhaus Friedenau,030 85070700,3085070700
672279,BIP Kreativitätskita Treskow-Höfe,030 23926130,3023926130
594,BOOT-Kita Am Kirschbaum,030 9986002,309986002
1028,BOOT-Kita Augsburg,030 84857000,3084857000
181,BOOT-Kita Farbenland,030 2965462,302965462
611,BOOT-Kita Fritz-Werner,030 93952557,3093952557
2265,BOOT-Kita Haus Lach und Krach,030 5618004,305618004
1874,BOOT-Kita Sonneninsel,030 44721865,3044721865
636,BOOT-Kita Spatzenhaus,030 5615159,305615159
612,BOOT-Kita Traumburg,030 84850460,030 84850460
463,BOOT-Kita Uhlandzwerge,030 9167930,309167930
2239,BOOT-Kita Wummelbude,030 9939048,309939048
461129,Bude-Kids,030 61795967,3061795967
444129,Carlis Ponyhof,030 47594444,3047594444
320129,Cheburashka-Birkholz,030 383958900,30383958900
153129,Cheburashka-Charlottenburg,030 76231387,3076231387
242179,Cheburashka-Tempelhof,030 48818359,3048818359
662229,Christliche Kita Fischlein,0176 23114017,0176 23114017
100029,Christliche Montessori-Kindertagesstätte,030 40104330,3040104330
128179,CityKids Berlin,030 40039746,3040039746
1741,"CJD Kindertagesstätte ""Stubs und Fridolin""",030 38306283,3038306283
454129,CJD Kita an der Milchstraße,030 61504471,3061504471
520229,Das Haus der kleinen Freunde,030 89623747,3089623747
148129,Deutsch-chinesische Kita,030 47386609,3047386609
2984,Deutsch-Englischer Kindergarten Lilolei,030 86399043,3086399043
2937,"Deutsch-Französische Kita 
Kiternelle P'tits Loups",030 42083647,030420 836 47
775,Deutsch-Französische Kita/Kigä City,030 4528036,304528036
628279,Dickenskita,030 35109190,3035109190
158129,Die Bergzwerge,030 9328152,309328152
417,Die Kindergärtnerei,030 70787717,3070787717
1426,Die Kinkies,030 6225381,306225381
1102,DIE KITA der Ev.-Paul-Gerhard-Kgm.,030 37585253,3037585253
361129,Die kleine Welt,030 61655720,3061655720
100038,Die kleinen Pankgrafen,01590 3042475,15903042475
130129,Die schlauen Mäuschen,030 55125582,3055125582
2874,Die Senfkörner,030 54431391,3054431391
2742,Die wilden Westender,030 30834998,3030834998
1248,Ei-Kita Humpty Dumpty,030 7812190,030 7812190
1790,EIKITA Felix,030 8537601,308537601
520,EiKiTa Pünktchen,030 3421017,342 10 17
1163,EKG - Bundesallee 76A,030 85966922,0308596 6922
1079,EKG - Friedenstr. 20,030 7062452,706 24 52
825,EKG - Gallwitzallee 4,030 7744020,030774 40 20
1051,EKG - Grunewald,030 89733343,8973 3343
1112,EKG - Heimat 27,030 84509599,0308450 9599
1052,EKG - Hohenzollerndamm 130,030 89773416,3089773416
1156,EKG - Jaczostr. 52,030 3612532,030361 25 32
742,EKG - Kladower Damm 369,030 36804238,03036 80 42 38
743,EKG - Schuckertdamm 336-338,030 3812455,030381 24 55
1103,EKG - Schwanter Weg 3,030 44723804,3044723804
1117,EKG - Sondershauser Str. 50,030 7115027,030711 50 27
100016,EKT  Kinderleben - Kind erleben,030 80619560,3080619560
928,EKT -  Eichhörnchenbande,030 3656485,365 64 85
587,EKT -  Kleinkindpädagogik,030 6855879,306855879
1201,"EKT - ""Balou""",030 6629848,030662 98 48
1440,"EKT - ""Chiquitito"" Verein z.Errichtung u.Betreibung v.EKT's e.V.",030 6636088,030663 60 88
733,"EKT - ""Eisbär""",030 4539038,030453 90 38
425,"EKT - ""Micky Maus"" Verein z.Errichtung u.Betreibung v.EKT¿s e.V.",030 6816271,030681 62 71
978,"EKT - ""Minnie Maus"" Verein z.Errichtung u.Betreibung v.EKT's e.V.",030 6860092,030686 00 92
2290,"EKT - ""Pippi Langstrumpf""",030 2479252,247 92 52
1441,"EKT - ""Pumuckel"" Verein z.Errichtung u.Betreibung v.EKT's e.V.",030 6266877,030626 68 77
243,"EKT - ""Wildblume"" e.V.",030 69564451,030695 64451
2502,"EKT - ""Wildblume"" e.V.",030 69564584,6956 4584
2610,EKT - 10 Vorne,030 43659863,4365 9863
1032,EKT - 1001 Nacht,030 6226815,306226815
1251,EKT - Abrakadabra,030 2117936,030211 79 36
1610,EKT - Affentanz,030 6175234,617 52 34
1303,EKT - Ahörnchen,030 79709944,0307970 9944
870,EKT - Ali Baba u.seine Räuber,030 6264871,626 48 71
2548,EKT - Ali Baba und seine Räuber,030 6264871,306264871
334,EKT - ALIBABA,030 3962664,396 26 64
381,EKT - Alles Banane,030 6941812,694 18 12
2750,EKT - Altenbraker Kinderladen - Altenbraker Str. 10,030 6221056,030622 10 56
1137,EKT - Amsel,030 78710656,7871 0656
1255,EKT - Amtomokarasachmo,030 7826354,782 63 54
768,EKT - Arbeitsgruppe für Montessori-Pädagogik,030 4720147,304720147
924,EKT - Arche Moabit,030 3495838,349 58 38
1809,EKT - Arche Noah,030 8531786,030853 17 86
803,EKT - Auenland,030 4941526,030494 15 26/4372 6072
803,EKT - Auenland,030 43726072,030494 15 26/4372 6072
1533,EKT - Babbelgamm,030 6262263,626 22 63
1247,EKT - Berliner Malbüro,030 8529041,852 90 41
1312,EKT - Blumenladen,030 8341404,308341404
753,EKT - Brei nach Neun,030 7828319,782 83 19
940,EKT - BuDdelKiste,030 6931206,693 12 06
1912,EKT - Bülowstr.,030 2156102,302156102
1798,EKT - Chiquitita,030 8539783,308539783
555,"EKT - CIP City-Initiative f. Eltern- 
und Kinder-Projekte",030 54469766,3054469766
696,EKT - Cocorico et Co,030 25799626,3025799626
1633,EKT - Combo,030 6928882,692 88 82
307129,EKT - Der Hummer aus Toronto,030 24325340,3024325340
840,EKT - Der Kick - Initiative im Kiez,030 3954982,303954982
932,EKT - Der kleine Horrorladen,030 6929332,030-692 93 32
