Senats-id,lblKitaname,lblEinrichtungsart,lblTraegerName,lblTraegerart,lblStrasse,lblOrt,HLinkEMail,HLinkWeb,lblOeffnungMontag,lblOeffnungDienstag,lblOeffnungMittwoch,lblOeffnungDonnerstag,lblOeffnungFreitag,lblPaedSchwerpunkte,lblMehrsprachigkeit,lblThemSchwerpunkte,lblBesondereAngebote,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,PLZ,Ort,Stadtteil,lat,lon,address_zum_vergleich_nochmal
1,Kita F.A.I.R.play,Kita,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,(Sonstiger freier Träger),Albrechtstr. 20 ,10117 Berlin (Mitte),kitaalbrechtstr20@hotmail.de,www.gfj-berlin.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,Situationsansatz,,,,65,0,0,65,10117,Berlin,Mitte,52.5225563,13.3844279,"20, Albrechtstraße, Mitte, Berlin, 10117, Deutschland"
2,Kita Kinderwelt,Kita,Forum Soziale Dienste GmbH,(Sonstiger freier Träger),An der Kolonnade 3 -5,10117 Berlin (Mitte),kita.kinderwelt@forum-soziale-dienste.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,,,130,0,34,96,10117,Berlin,Mitte,52.5116123,13.3820458,"Kita Kinderwelt, 3-5, An der Kolonnade, Mitte, Berlin, 10117, Deutschland"
3,FRÖBEL Kindergarten Casa Fantasia,Kita,FRÖBEL Berlin gGmbH,(Sonstiger freier Träger),Anklamer Str. 38 ,10115 Berlin (Mitte),casafantasia-berlin@froebel-gruppe.de,www.froebel-gruppe.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Reggio-Pädagogik,,,,69,0,26,43,10115,Berlin,Mitte,52.5353154,13.3992983267,"Weiberwirtschaft, 38, Anklamer Straße, Scheunenviertel, Mitte, Berlin, 10115, Deutschland"
8,Kita Französische Str. 16a u. 16b,Kita,Kinder im Kiez gGmbH,(Sonstiger freier Träger),Französische Str. 16 ,10117 Berlin (Mitte),franzoesischestrasse@kinder-im-kiez.de,,Mo 07:00-19:00,Di 07:00-19:00,Mi 07:00-19:00,Do 07:00-19:00,Fr 07:00-19:00,,,,,161,2,66,95,10117,Berlin,Mitte,52.5145862,13.3881414,"16, Französische Straße, Mitte, Berlin, 10117, Deutschland"
9,Kita Pelikan,Kita,Kinder- und Jugend gGmbH der Volkssolidarität Berlin,(Sonstiger freier Träger),Friedrichstr. 129 f,10117 Berlin (Mitte),kita-pelikan-mitte@volkssolidaritaet.de,www.volkssolidaritaet-berlin.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,190,0,0,190,10117,Berlin,Mitte,52.509756,13.3899373,"Friedrichstraße, Mitte, Berlin, 10117, Deutschland"
11,Lichtenberger Straße 32/33,Kita,Kindergärten City,(Eigenbetrieb),Lichtenberger Str. 32 -33,10179 Berlin (Mitte),Kita.Lichtenberger@ba-fk.berlin.de,,Mo 06:00-17:30,Di 06:00-17:30,Mi 06:00-17:30,Do 06:00-17:30,Fr 06:00-17:30,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung",,190,2,96,94,10179,Berlin,Mitte,52.514901,13.4234459339,"Kita Lichtenberger Straße 32/33, 32/33, Lichtenberger Straße, Scheunenviertel, Mitte, Berlin, 10179, Deutschland"
13,Kita Jerusalemer Str. 10/12/Kigä City,Kita,Kindergärten City,(Eigenbetrieb),Jerusalemer Str. 10 ,10117 Berlin (Mitte),Kita.Jerusalemer10@ba-fk.berlin.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,Ästhetische Bildung (Musik und Kunst),,185,2,72,113,10117,Berlin,Mitte,52.5118678,13.3968064,"10, Jerusalemer Straße, Scheunenviertel, Mitte, Berlin, 10117, Deutschland"
19,"FRÖBEL Kindergarten ""Traumzauberbaum""",Kita,FRÖBEL Berlin gGmbH,(Sonstiger freier Träger),Mollstr. 7 A,10178 Berlin (Mitte),traumzauberbaum-berlin@froebel-gruppe.de,www.froebel-gruppe.de,Mo 06:00-19:00,Di 06:00-19:00,Mi 06:00-19:00,Do 06:00-19:00,Fr 06:00-19:00,Situationsansatz,,,,240,0,83,157,10178,Berlin,Mitte,52.5239707,13.4234183,"Mollstraße, Scheunenviertel, Mitte, Berlin, 10249, Deutschland"
26,Kita Trauminsel,Kita,Forum Soziale Dienste GmbH,(Sonstiger freier Träger),Schmidstr. 2 ,10179 Berlin (Mitte),kita.trauminsel@forum-soziale-dienste.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,70,0,31,39,10179,Berlin,Mitte,52.5088397,13.4186615581,"Kita Trauminsel, 2, Schmidstraße, Scheunenviertel, Mitte, Berlin, 10179, Deutschland"
29,Kita Villa Murkelmeier,Kita,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,(Sonstiger freier Träger),Sebastianstr. 22 ,10179 Berlin (Mitte),villamurkelmeier@gmx.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,90,0,0,90,10179,Berlin,Mitte,52.5074743,13.4105227,"22, Sebastianstraße, Scheunenviertel, Mitte, Berlin, 10179, Deutschland"
30,Kita Pusteblume,Kita,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,(Sonstiger freier Träger),Sebastianstr. 23 ,10179 Berlin (Mitte),pusteblume23@gmx.net,www.gfj-berlin.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,Situationsansatz,,,,86,0,0,86,10179,Berlin,Mitte,52.5078456,13.4102851,"23, Sebastianstraße, Scheunenviertel, Mitte, Berlin, 10179, Deutschland"
32,Kita Weydemeyerstr. 20/21,Kita,Kindergärten City,(Eigenbetrieb),Weydemeyerstr. 20 /21,10178 Berlin (Mitte),Kita.Weydemeyerstr20@ba-fk.berlin.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,Situationsansatz,,Gesundheit,,132,2,40,92,10178,Berlin,Mitte,52.5215516,13.428658,"Weydemeyerstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland"
