Senats-id,lblKitaname,Telefon,lblTelefon
1,Kita F.A.I.R.play,030 2816473,030281 64 73
2,Kita Kinderwelt,030 2291378,302291378
3,FRÖBEL Kindergarten Casa Fantasia,030 4498171,304498171
8,Kita Französische Str. 16a u. 16b,030 2089214,302089214
9,Kita Pelikan,030 2824385,302824385
11,Lichtenberger Straße 32/33,030 2492179,302492179
13,Kita Jerusalemer Str. 10/12/Kigä City,030 20216803,3020216803
19,"FRÖBEL Kindergarten ""Traumzauberbaum""",030 2419156,241 91 56
26,Kita Trauminsel,030 2794009,302794009
29,Kita Villa Murkelmeier,030 2792668,302792668
30,Kita Pusteblume,030 2792210,302792210
32,Kita Weydemeyerstr. 20/21,030 2419151,302419151
36,Kita Oase,030 4497289,030449 72 89
37,Kita St. Elisabeth,030 4496527,449 65 27
38,Zions-Kindergarten,030 4490416,030449 04 16
39,Ev. Kita Sophien,030 24342439,3024342439
42,Kita Habersaathstraße,030 2823535,030282 35 35
49,Kita Fürstenberger Str. 4/5/Kigä City,030 4496657,304496657
56,Am Hain,030 4250106,304250106
60,Kita Sonnenmäuse/Kigä NordOst,030 42161469,3042161469
61,Kita Gerne Groß/Kigä NordOst,030 4457446,304457446
63,Kita Prenzelberger Schwalbennest/Kigä NordOst,030 4239854,304239854
64,Kita Drieselmäuse,030 4454368,304454368
67,Kindergarten am Hirschhof,030 4484450,304484450
68,Kita Haus Eldekids,030 42029014,0304202 9014
71,Kita Räuberbande/Kigä NordOst,030 4258424,304258424
83,Kita Bambinioase,030 4235658,304235658
86,Kindergarten Sonnenhügel,030 42023010,4202 3010
87,Kindergarten Käthe,030 4250120,304250120
90,Kita Kritzelknirpse,030 41722357,3041722357
98,Kita Freche Früchtchen,030 4458817,445 88 17
101,Kita Prenzlauer Berg,030 44340590,030443 40 590
103,"Klax Krippen Regentropfenhaus und Wolkenzwerge;Klax Kindergärten Sternschnuppenhaus, Sonnenhaus und Wirbelwind",030 44793362,0304479 3362
104,Kita der Kath. Kirchengem. Heilige Familie,030 4441216,304441216
105,Kita Helmistrolche,030 4455286,304455286
106,Kita Tigerenten/Kigä NordOst,030 4481659,304481659
108,Kita Zum klingenden Bäumchen,030 4454600,304454600
109,Humanistische Kita Prenzlzwerge,030 4457194,030445 71 94
111,Humanistische Kita Mühlengeister,030 4241731,030424 17 31
113,Kita Schivelbeiner Str. 12/Kigä NordOst,030 4445108,304445108
