Senats-id,GridViewFreiPlaetze,GridViewPlatzstrukturen_Altersmischung,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,HLinkEMail,HLinkWeb,lblAngeboteText,lblBesondereAngebote,lblEMailText,lblEinrichtungsart,lblFreiePlaetzeText,lblKitaname,lblMehrsprachigkeit,lblMehrsprachigkeitText,lblOeffText,lblOeffnungDienstag,lblOeffnungDonnerstag,lblOeffnungFreitag,lblOeffnungMittwoch,lblOeffnungMontag,lblOeffnungSonnabend,lblOrt,lblPaedAnsaetze,lblPaedAnsaetzeText,lblPaedSchwerpunkte,lblPaedSchwerpunkteText,lblPlatzstrukturenText,lblStellenangeboteText,lblStrasse,lblTelefon,lblTelefonText,lblThemSchwerpunkte,lblThemSchwerpunkteText,lblTraegerName,lblTraegerart,lblTraegerartText,lblVerantwortlich,lblWebText,PLZ,Ort,Stadtteil,Traegerart,Telefon,lat,lon,address_zum_vergleich_nochmal
175129,Nein, ,17,12,7,10,kontakt@pankowerpixxel.de,pankowerpixxel.de,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Pankower Pixxel,,,Öffnungszeiten,,,,,,,13189 Berlin (Pankow),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Selma-Lagerlöf-Str. 4 ,0300152 27987891,Telefon,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik, Theaterpädagogik",Thematische Schwerpunkte,Kita Pankower Pixxel gGmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13189,Berlin,Pankow,Sonstiger freier Träger,015 227987891,52.5608856,13.4260875,"4, Selma-Lagerlöf-Straße, Pankow, Berlin, 13189, Deutschland"
136129,Nein, ,20,14,7,13,kinderladen.bullerbue@googlemail.com,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,EKT Bullerbü,,,Öffnungszeiten,Di 08:00-16:30,Do 08:00-16:30,Fr 08:00-16:30,Mi 08:00-16:30,Mo 08:00-16:30,,10439 Berlin (Pankow),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Schivelbeiner Str. 43 /44,00490151/21168204,Telefon,,,Kinderladen Bullerbü e. V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10439,Berlin,Pankow,EKT,01512 1168204,52.5507301,13.4138806,"Schivelbeiner Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
229179,Nein, ,16,12,0,16,kih5858@gmail.com,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kinderladen Klein im Hain,,,Öffnungszeiten,Di 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,Mi 08:00-17:00,Mo 08:00-17:00,,10245 Berlin (Friedrichshain-Kreuzberg),"Montessori-Pädagogik, Situationsansatz",Pädagogische Ansätze,"Körper und Bewegung, Montessori-Pädagogik, Situationsansatz",Pädagogische Schwerpunkte,Plätze,Stellenangebote,Modersohnstr. 58 ,15234555551,Telefon,,,JAMSAPALPIM e.V.,(EKT),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10245,Berlin,Friedrichshain-Kreuzberg,EKT,01523 4555551,52.502194,13.456472,"58, Modersohnstraße, Rudolfkiez, Fhain, Friedrichshain-Kreuzberg, Berlin, 10245, Deutschland"
297129,Nein, ,30,0,0,30,bernhard.lauter@web.de,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,EKT Lollipopp,,,Öffnungszeiten,Di 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,Mi 07:00-17:30,Mo 07:00-17:30,,13469 Berlin (Reinickendorf),,,,,Plätze,Stellenangebote,Nimrodstr. 39 ,0157 31392438,Telefon,,,Lummerland e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13469,Berlin,Reinickendorf,Sonstiger freier Träger,01573 1392438,52.6033899,13.3162059,"39, Nimrodstraße, Waidmannslust, Reinickendorf, Berlin, 13469, Deutschland"
727229,Nein, ,35,0, , ,info@fbe-berlin.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Ringelblume,,,Öffnungszeiten,,,,,,,13347 Berlin (Mitte),,,,,Plätze,Stellenangebote,Reinickendorfer Str. 32 ,15733903210,Telefon,,,"Forum für Bildung und Erziehung
(FBE) gGmbH",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13347,Berlin,Mitte,Sonstiger freier Träger,01573 3903210,52.5475321,13.3694653,"32, Reinickendorfer Straße, Leopoldkiez, Wedding, Mitte, Berlin, 13347, Deutschland"
614279,Nein, ,160,0, , ,info@europa-kita.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Judith-Auer-Straße 6,,,Öffnungszeiten,,,,,,,10369 Berlin (Lichtenberg),,,,,Plätze,Stellenangebote,Judith-Auer-Str. 6 ,0157 36332332,Telefon,,,"P.E.K. Private Europa 
Kindertagesstätte Elite gGmbH",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10369,Berlin,Lichtenberg,Sonstiger freier Träger,01573 6332332,52.5329926,13.46848,"6, Judith-Auer-Straße, Fennpfuhl, Lichtenberg, Berlin, 10369, Deutschland"
462129,Nein, ,28,0,0,28,skib.gug@web.de,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kinderladen Pankekäfer,,,Öffnungszeiten,,,,,,,13187 Berlin (Pankow),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Ossietzkystr. 9 ,0157 37124122,Telefon,,,"SKIB gemeinnützige Unternehmergesellschaft
(haftungsbeschränkt) Starke Kinder in Berlin",(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,13187,Berlin,Pankow,Sonstiger freier Träger,01573 7124122,52.571827,13.4082211,"9, Ossietzkystraße, Pankow, Berlin, 13187, Deutschland"
372129,Nein, ,22,18,8,14,info@mi-kita.de,,,,E-Mail,Eltern-Initiativ-Kindertagesstätte,Freie Plätze,miKita,deutsch - spanisch,Mehrsprachigkeit,Öffnungszeiten,Di 08:30-16:00,Do 08:30-16:00,Fr 08:30-16:00,Mi 08:30-16:00,Mo 08:30-16:00,,12047 Berlin (Neukölln),,,bilingual (deutsch-spanisch),Pädagogische Schwerpunkte,Plätze,Stellenangebote,Maybachufer 5 ,15757211929,Telefon,,,miKita e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,12047,Berlin,Neukölln,Sonstiger freier Träger,01575 7211929,52.4950856,13.4221176255,"5, Maybachufer, Reuterkiez, Neukölln, Berlin, 12047, Deutschland"
431179,Nein, ,23,0,0,23,gabrielewagner13@gmail.com,,,,E-Mail,Kindertagesstätte,Freie Plätze,Kita Kleine Küken,,,Öffnungszeiten,,,,,,,10709 Berlin (Charlottenburg-Wilmersdorf),Waldorfpädagogik,Pädagogische Ansätze,Waldorfpädagogik,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Eisenzahnstr. 62 ,01577 3160935,Telefon,,,Kinderladen Kleine Küken gGmbH,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10709,Berlin,Charlottenburg-Wilmersdorf,Sonstiger freier Träger,01577 3160935,52.4980823,13.305553,"62, Eisenzahnstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10709, Deutschland"
122129,Nein, ,42,8,14,28,kontakt@el-mundo-de-los-ninos.de,www.el-mundo-de-los-ninos.de,,,E-Mail,Kindertagesstätte,Freie Plätze,El mundo de los ninos,deutsch - spanisch,Mehrsprachigkeit,Öffnungszeiten,Di 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,Mi 08:00-17:00,Mo 08:00-17:00,,10119 Berlin (Mitte),Situationsansatz,Pädagogische Ansätze,Situationsansatz,Pädagogische Schwerpunkte,Plätze,Stellenangebote,Brunnenstr. 30 ,49015775764079,Telefon,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",Thematische Schwerpunkte,El mundo de los ninos e. V.,(Sonstiger freier Träger),Träger,Die Kitas sind für die Informationen über ihre Angebote in diesem Verzeichnis verantwortlich.,Internet,10119,Berlin,Mitte,Sonstiger freier Träger,01577 5764079,52.5345738,13.3984449,"30, Brunnenstraße, Scheunenviertel, Mitte, Berlin, 10119, Deutschland"
